When,Title,Authors,Conference,Location,Award,Tag
7/1/14,"Towards a Comprehensive Understanding of the Plio-Pleistocene Transition in the Arctic: Reconstructing Lake Surface Temperatures at Lake El’gygytgyn, Arctic Northeast Russia","Keisling BA, Castañeda IS, Brigham-Grette J, de Wet GA, Habicht MH, Salacup J ",Gordon Research Seminar and Conference on Organic Geochemistry,"Holderness, NH",,poster
4/1/14,"Late Pliocene Lake Temperatures at Lake El’gygytgyn, Arctic Northeast Russia","Keisling BA, Castañeda IS, Brigham-Grette J, de Wet GA, Habicht MH, Salacup J ",GDGT2014 Workshop,"Texel, NL",,poster
12/1/13,Basal conditions and ice dynamics inferred from radar-derived internal stratigraphy of the Northeast Greenland Ice Stream,"Keisling BA, Christianson KA, Jacobel R, Anandakrishnan S, Peters L, Alley RB",AGU Fall Meeting,"San Francisco, CA",,poster
7/1/12,Variability in Basal Reflectivity Across the Grounding Zone of Whillans Ice Stream from Ice Penetrating Radar,"Keisling BA, Christianson KA, Horgan H, Jacobel R, Anandakrishnan S, Peters L",SCAR Conference,"Portland, OR",,poster
2/1/19,On the Pleistocene stability of the Greenland ice sheet,"Keisling BA, Habicht MH, Castañeda IS, Brigham-Grette J, DeConto RM",,James Madison University,Kristen St. John,lecture
12/1/19,Comparing Measured and Simulated Exposure Histories of Central Greenland during the Pleistocene using Northern Hemisphere Proxy Records,"Keisling BA, Habicht MH, Castañeda IS, Brigham-Grette J, DeConto RM",AGU Fall Meeting,Washington DC,,oral
12/1/19,BRIDGE: a student-led effort to increase the diversity of speakers invited to campus,"Golden NG, Bryant RM, Garcia Arredondo M, Keisling BA",AGU Fall Meeting,Washington DC,,oral
3/16/19,Modelling the stability of the Greenland ice sheet,"Keisling BA, DeConto RM ",National Organization of Gay and Lesbian Scientists and Technical Professionals,"Los Angeles, CA",,poster
3/17/19,Modelling the stability of the Greenland ice sheet,"Keisling BA, DeConto RM ",National Organization of Gay and Lesbian Scientists and Technical Professionals,"Los Angeles, CA",,oral
8/10/19,Using Geochemical Data to Constrain the Climatic and Ice-Cover History of Greenland ,"Keisling BA, Habicht MH, Castañeda IS, Brigham-Grette J, DeConto RM",Goldschmidt,"Barcelona, SP",,oral
